"Ad Impressions","Channel Image","Channel Name","Video Name","Content Category","Video Language","Video Format","Video Minutes","Childrens Content","Video Views","Channel Views","Channel Subs","Channel Origin","Video URL","Channel URL"
1152,"https://yt3.ggpht.com/ifv7cOgZXHt_8OpF5JPBTPDuZjIv9sej_CnEF6dDB16uQqSRjj1Tgd2N-Ej69mG41ytzOz4gAw=s88-c-k-c0x00ffffff-no-rj","Rob Parsons","Massive Gold Haul Found After Exploring Abandoned Gold Mine","People & Blogs","English","Long Form",48,0,"604983","11631125","111000","AU","https://www.youtube.com/watch?v=wHw2SlDQ5Ts","https://www.youtube.com/channel/UCriyYigMNrorS0Fh2Q7teeg"
1140,"https://yt3.ggpht.com/fTbDZB5J9RUfnspwzbrB_XCT_ZdQG2LAjEBtLlnlZ-P41SkHLKur_Polr_ikFiAXTTCM56uIGw=s88-c-k-c0x00ffffff-no-rj","Rebecca Zamolo","Daughters First Time Getting Ears Pierced","Entertainment","English","Long Form",77,0,"9477417","7963598550","17100000","US","https://www.youtube.com/watch?v=Kcjx_Kn-wTc","https://www.youtube.com/channel/UCfw8x3VR-ElcaWW2Tg_jgSA"
1117,"https://yt3.ggpht.com/lrTaREMhyUWP1hRTML5VbGUpIZRznQj9cvXBxn2oJ8c3Qb-_Ct_KsMZglfjhVbAcKepr73LPmFY=s88-c-k-c0x00ffffff-no-rj","Martijn Doolaard","#107 Arched Door Frame, Copper Shower, Planting Potatoes","Travel & Events","English","Long Form",50,0,"502156","99442102","744000",NA,"https://www.youtube.com/watch?v=6vdwyajw1go","https://www.youtube.com/channel/UClkUhTjFbQbtGfS14h9Vw5g"
1087,"https://yt3.ggpht.com/Pui0xFjDp_F-x0UK5Rkfh1tGkwZLy7fkU4Pr44Zht3DJcMwWXLnxoVIGSRS5Pr7SVxgES0-ouA=s88-c-k-c0x00ffffff-no-rj","NRL - National Rugby League","NRL 2024 | Warriors v Sea Eagles | Full Match Replay | Round 6","Sports","English","Long Form",113,0,"26420","357771947","450000","AU","https://www.youtube.com/watch?v=t0xtTEVlTMk","https://www.youtube.com/channel/UC33-OkQ6VCYk8xtml8Pk4-g"
1066,"https://yt3.ggpht.com/ytc/AIdro_kMwdFZd-Nl1trq6PgKkkqH58o9Lj0phbNoTaFTtNeoNg4=s88-c-k-c0x00ffffff-no-rj","Outdoor Boys","18 Day Japan Travel Adventure - Volcanoes, Castles, Fishing & More (Kyushu, Osaka, Kyoto, Hiroshima)","Entertainment","English","Long Form",117,0,"11609394","1920248069","10500000","US","https://www.youtube.com/watch?v=q5elqE21EHk","https://www.youtube.com/channel/UCfpCQ89W9wjkHc8J_6eTbBg"
1065,"https://yt3.ggpht.com/ytc/AIdro_llPlK76qJ3vTfaeS0kmTk8L_1a-Ux7kWoMopedNGwzEK4=s88-c-k-c0x00ffffff-no-rj","Mat Armstrong","DRIVING MARCUS RASHFORDS WRECKED ROLLS ROYCE FOR THE FIRST TIME","Autos & Vehicles","English","Long Form",36,0,"4412441","484343070","3540000","GB","https://www.youtube.com/watch?v=fPAeRGBDrBM","https://www.youtube.com/channel/UCcLYOTz3ct6_lk9iLToxxAw"
1064,"https://yt3.ggpht.com/ffMdyFX49eP6N3S7vb1FieAvKgAYdh2efmuVxUJEihq9TZukDsb_Qgo2Ar8bz0oSVzcgGKFOng=s88-c-k-c0x00ffffff-no-rj","ROCK SQUAD","SURVIVING WORLD’S WORST BABYSITTER!","Entertainment","English","Long Form",112,0,"1139281","2559627423","3710000","US","https://www.youtube.com/watch?v=Jsbr7-qYC54","https://www.youtube.com/channel/UC8lk1PidR1QY0jlphsYJqtw"
1056,"https://yt3.ggpht.com/usRWxTny4aTR0ZP-PiqRCWyaPJ7qVEXmxudhM5iB8EbG9jr_g0xxUqnlXhtFYtg9AVB_-utFHQ=s88-c-k-c0x00ffffff-no-rj","Top Viral Talent","Judges Ask For A SECOND SONG...Watch What Happens Next 👀","Entertainment","English","Long Form",147,0,"1440298","881294519","13300000","US","https://www.youtube.com/watch?v=7bACkLmYvcU","https://www.youtube.com/channel/UCDnEa2HC2eeT-cN3pAKnNTw"
1052,"https://yt3.ggpht.com/ytc/AIdro_lSrCkseDXu7jjww3zsg29QC1pwPM4QpzVjmXtIPTOwfw=s88-c-k-c0x00ffffff-no-rj","Diesel Creek","Shopping for Deals at the Ritchie Bros Auction! (We Scored BIG!)","Autos & Vehicles","English","Long Form",74,0,"1159224","221254091","805000","US","https://www.youtube.com/watch?v=M_zu7cSJi2E","https://www.youtube.com/channel/UCBB0oz7Yo_35gnbPYGKGJTA"
1051,"https://yt3.ggpht.com/huT7Kpms2xrk5bUjkWdfDkbpOsyzxeetp_Us1bGkRs5iVy4BFyR0_02cdeQx0p26xpACGWQL=s88-c-k-c0x00ffffff-no-rj","SABA Prank's","🎯A crazy boy scares girls#funny #comedy","Entertainment","English","Short Reel",0.3,0,"156364968","707101767","1910000","US","https://www.youtube.com/watch?v=y_2pobSadlI","https://www.youtube.com/channel/UCPEoBulDa17kDuFJ2brSnRw"
